ORCID,Hopkins Profile,Year,Title,Authors,PubMed Link,Abstract
0000-0003-0275-8037,https://profiles.hopkinsmedicine.org/provider/cheng-ting-lin/2703089,2026,MAG-PSIR mismatch in a patient with multi-territory myocardial infarcts with and without acute ischemic edema,"Tsang Derek A, Lin Cheng Ting, Brookmeyer Claire",https://pubmed.ncbi.nlm.nih.gov/41524854/,"Cardiac MRI (cMRI) is crucial for characterizing acute myocardial infarction (MI) complications. We present a case where acute ischemic edema demonstrated a magnitude (MAG) and phase-sensitive inversion recovery (PSIR) mismatch. This highlights that the MAG-PSIR mismatch can arise from the very long T1 times of acute edema, a key finding confirmed by T1 and T2 mapping [1]."
0000-0003-0275-8037,https://profiles.hopkinsmedicine.org/provider/cheng-ting-lin/2703089,2025,Pulmonary Embolism Survival Prediction Using Multimodal Learning Based on Computed Tomography Angiography and Clinical Data.,"Zhong Zhusi, Zhang Helen, Fayad Fayez H, Lancaster Andrew C, Sollee John, Kulkarni Shreyas, Lin Cheng Ting, Li Jie, Gao Xinbo, Collins Scott, Greineder Colin F, Ahn Sun H, Bai Harrison X, Jiao Zhicheng, Atalay Michael K",https://pubmed.ncbi.nlm.nih.gov/40200808/,"Pulmonary embolism (PE) is a significant cause of mortality in the United States. The objective of this study is to implement deep learning (DL) models using computed tomography pulmonary angiography (CTPA), clinical data, and PE Severity Index (PESI) scores to predict PE survival. In total, 918 patients (median age 64 y, range 13 to 99 y, 48% male) with 3978 CTPAs were identified via retrospective review across 3 institutions. To predict survival, an AI model was used to extract disease-related imaging features from CTPAs. Imaging features and clinical variables were then incorporated into independent DL models to predict survival outcomes. Cross-modal fusion CoxPH models were used to develop multimodal models from combinations of DL models and calculated PESI scores. Five multimodal models were developed as follows: (1) using CTPA imaging features only, (2) using clinical variables only, (3) using both CTPA and clinical variables, (4) using CTPA and PESI score, and (5) using CTPA, clinical variables, and PESI score. Performance was evaluated using the concordance index (c-index). Kaplan-Meier analysis was performed to stratify patients into high-risk and low-risk groups. Additional factor-risk analysis was conducted to account for right ventricular (RV) dysfunction. For both data sets, the multimodal models incorporating CTPA features, clinical variables, and PESI score achieved higher c-indices than PESI alone. Following the stratification of patients into high-risk and low-risk groups by models, survival outcomes differed significantly (both P <0.001). A strong correlation was found between high-risk grouping and RV dysfunction. Multiomic DL models incorporating CTPA features, clinical data, and PESI achieved higher c-indices than PESI alone for PE survival prediction."
0000-0003-0275-8037,https://profiles.hopkinsmedicine.org/provider/cheng-ting-lin/2703089,2025,Vision-language model for report generation and outcome prediction in CT pulmonary angiogram.,"Zhong Zhusi, Wang Yuli, Wu Jing, Hsu Wen-Chi, Somasundaram Vin, Bi Lulu, Kulkarni Shreyas, Ma Zhuoqi, Collins Scott, Baird Grayson, Ahn Sun Ho, Feng Xue, Kamel Ihab, Lin Cheng Ting, Greineder Colin, Atalay Michael, Jiao Zhicheng, Bai Harrison",https://pubmed.ncbi.nlm.nih.gov/40652098/,"Accurate and comprehensive interpretation of pulmonary embolism (PE) from Computed Tomography Pulmonary Angiography (CTPA) scans remains a clinical challenge due to the limited specificity and structure of existing AI tools. We propose an agent-based framework that integrates Vision-Language Models (VLMs) for detecting 32 PE-related abnormalities and Large Language Models (LLMs) for structured report generation. Trained on over 69,000 CTPA studies from 24,890 patients across Brown University Health (BUH), Johns Hopkins University (JHU), and the INSPECT dataset from Stanford, the model demonstrates strong performance in abnormality classification and report generation. For abnormality classification, it achieved AUROC scores of 0.788 (BUH), 0.754 (INSPECT), and 0.710 (JHU), with corresponding BERT-F1 scores of 0.891, 0.829, and 0.842. The abnormality-guided reporting strategy consistently outperformed the organ-based and holistic captioning baselines. For survival prediction, a multimodal fusion model that incorporates imaging, clinical variables, diagnostic outputs, and generated reports achieved concordance indices of 0.863 (BUH) and 0.731 (JHU), outperforming traditional PESI scores. This framework provides a clinically meaningful and interpretable solution for end-to-end PE diagnosis, structured reporting, and outcome prediction."
0000-0003-0275-8037,https://profiles.hopkinsmedicine.org/provider/cheng-ting-lin/2703089,2025,"The Utility of Cardiac Computed Tomographic Angiography in Differentiating Between Papillary Fibroelastoma, Infective Endocarditis, and Degeneration of the Aortic Valve","Hsu Wen-Chi, Kamona Aws, Oncel Dilek, Fishman Elliot K, Lin Cheng Ting",https://pubmed.ncbi.nlm.nih.gov/39761504/,"Cardiac computed tomography angiography (CCTA) has significantly advanced the visualization of cardiac structures, particularly valves. We assessed the diagnostic performance of CCTA in diagnosing the most common disorders affecting the aortic valves requiring surgery-papillary fibroelastoma, infective endocarditis, and degeneration. This retrospective study included patients who underwent aortic valve resection between 2016 and 2023 and had a preceding CCTA. Pathologic diagnoses were categorized into the following 3 groups: papillary fibroelastoma, infective endocarditis, and degeneration. Each case was independently evaluated by 3 cardiac-trained radiologists. The study group consisted of 50 patients with aortic valvular disorder-14 papillary fibroelastoma, 13 endocarditis, and 23 degeneration. Diagnostic accuracy varied from 70% to 74% among the 3 readers, with a pooled accuracy of 71% and consensus accuracy of 76%. Most errors involved small (≤7 mm) papillary fibroelastomas. Both papillary fibroelastomas and endocarditis-related vegetations typically presented with nodules on CT; however, nodule stalks were only observed with papillary fibroelastomas. Echocardiography aided in distinguishing between the disorders by detecting leaflet perforation and aortic regurgitation in cases of infective endocarditis. This study evaluated cardiac CTA for noninvasive characterization of aortic valvular disorders prior to resection. Reader accuracy ranged from 70% to 74%, improving to 76% with consensus interpretations. Small papillary fibroelastomas (≤7 mm) and overlapping imaging features, such as nodular lesions and leaflet thickening, were diagnostic challenges. Greater awareness of these CT characteristics is essential for accurate diagnosis and clinical management."
0000-0003-0275-8037,https://profiles.hopkinsmedicine.org/provider/cheng-ting-lin/2703089,2025,Mitral annuloplasty ring migration.,"Hussain Nauman, Lin Cheng Ting, Brookmeyer Claire",https://pubmed.ncbi.nlm.nih.gov/40156691/,"Mitral annuloplasty ring dehiscence is a rare post-operative complication [1, 2]. Even more rarely, dehiscent annuloplasty rings can migrate leading to vascular complications like aortic rupture and pseudoaneurysm formation [3]. This case highlights rare but severe complications of annuloplasty ring dehiscence and migration, and challenges of managing these high-risk patients."
0000-0003-0275-8037,https://profiles.hopkinsmedicine.org/provider/cheng-ting-lin/2703089,2025,Teaching the Technology: Evaluating a Video-Based PACS Curriculum for Radiology Residents.,"Gullotti David, Abou Areda Moustafa, Hsu Wen-Chi, Shi Victoria, Kim Tae Kyung, Gomez Erin, Lin Cheng Ting",https://pubmed.ncbi.nlm.nih.gov/40011094/,"Picture archiving and communication system (PACS) is integral to radiology, yet effective training to master PACS viewer tools remains challenging. This study aimed to evaluate the impact of a video-based curriculum on radiology residents' PACS confidence and technical proficiency. A prospective cohort study was conducted at a tertiary academic institution during 2022-2023, enrolling first-year (R1) and second-year (R2) radiology residents. The Intervention Group received a 30-minute instructional video on PACS tools 3 months after their orientation. The Reference Group did not receive additional training. Comfort levels and PACS task performance were assessed before and after the intervention. A total of 24 residents participated, with 12 in each group. The Intervention Group showed a significant increase in self-reported confidence in PACS skills following the video intervention (median [interquartile range]=-1.01 [-1.30, -0.43] vs. 2.07 [1.37, 2.38], p<0.01). The Intervention Group maintained a higher confidence level at the R2 level compared to the Reference Group, though the difference was not statistically significant. Additionally, the Intervention Group completed their assigned PACS tasks in significantly less time (total time: 220.5 s [179.5, 259.5] vs. 315.0 s [211.8, 397.0], p=0.04). The video-based PACS curriculum effectively improved radiology residents' technical skills and confidence. These results highlight the importance of supplementing on-the-job learning with formal technical training to reinforce proficiency with the PACS viewer."
0000-0003-0275-8037,https://profiles.hopkinsmedicine.org/provider/cheng-ting-lin/2703089,2025,Generative Adversarial Networks With Radiomics Supervision for Lung Lesion Generation,"Li Junyuan, Pan Shaoyan, Zhang Xiaoxuan, Lin Cheng Ting, Stayman J Webster, Gang Grace J",https://pubmed.ncbi.nlm.nih.gov/39208053/,"Data-driven methods for lesion generation are quickly emerging due to the need for realistic imaging targets for image quality assessment and virtual clinical trials. We proposed a generative adversarial network (GAN) architecture for conditional generation of lung lesions based on user-specified classes of lesion size and solidity. The network consists of two discriminators, one for volumetric lesion data, and one for radiomics features derived from the lesion volume. A Wasserstein loss with gradient penalty was adopted for each discriminator. Training data were drawn from contoured and annotated lesions from a public lung CT database. Four quantitative evaluation methods were devised to assess the network performance: 1) overfitting (similarity between generated and real lesions), 2) diversity (similarity among generated lesions), 3) conditional consistency (capability of generating lesions according to user-specified classes), and 4) similarity in distributions of various lesion properties between the generated and real lesions. Ablation studies were also performed to investigate the importance of individual network component. The proposed network was found to generate lesions that resemble real lesions by visual inspection. Solid lesions are distinct from non-solid ones, and lesion sizes largely correspond to their specified classes. With a classifier trained on real lesions, the classification accuracies of generated and real lesions in both solid and non-solid classes are similar. Radiomics features of generated and real lesions were found to have similar distributions, indicated by the relatively low Kullback-Leibler (KL) divergence values. Furthermore, the correlations between pairwise radiomics features in generated lesions were comparable to those of real lesions. The proposed network presents a promising approach for generating realistic lesions with clinically relevant features crucial for the comprehensive assessment of medical imaging systems."
0000-0003-0275-8037,https://profiles.hopkinsmedicine.org/provider/cheng-ting-lin/2703089,2024,Longitudinal anemia status and risk for adverse outcomes in former smokers with COPD.,"Kunitomo Yukiko, Woo Han, Balasubramanian Aparna, Fawzy Ashraf, Lin Cheng Ting, Raju Sarath, Belz Daniel C, McCormack Meredith C, Koehler Kirsten, Hansel Nadia N, Putcha Nirupama",https://pubmed.ncbi.nlm.nih.gov/39702327/,"Anemia is a prevalent comorbidity in COPD associated with increased morbidity. However, the significance of longitudinal anemia status and variation in anemia status trends over time in COPD are not known. Furthermore, individuals with COPD and smoking history often have multiple comorbidities, in particular cardiovascular disease. The objective of this study was to evaluate the association between longitudinal anemia status and COPD outcomes, accounting for comorbid cardiovascular disease. Serial hemoglobin measures and clinical outcomes were obtained in former smokers with moderate to severe COPD from two clinical studies over a 6-to-9-month period. In the first analysis, the association between repeated measures of time-varying anemia status and outcomes was assessed by generalized estimating equations adjusted for covariates including cardiovascular disease. In the second analysis, each participant's anemia risk profile during the study period was characterized as high versus low anemia risk-growth rate. Mean differences in the progression of COPD outcomes over time between the two groups were assessed using a generalized linear mixed model. Effect modification by baseline coronary artery calcium (CAC) burden was explored. There were 159 individuals with mean age of 66.5 years (± 8.3) and mean FEV Longitudinal anemia status trends may be predictive of COPD disease trajectory. Anemia status by repeated measures analysis is associated with COPD morbidity with potentially stronger associations in the setting of high CAC burden."
0000-0003-0275-8037,https://profiles.hopkinsmedicine.org/provider/cheng-ting-lin/2703089,2024,Resident Education in the Age of AI.,"Gomez Erin, Lin Cheng Ting",https://pubmed.ncbi.nlm.nih.gov/39631434/,"Artificial intelligence (AI) is a rapidly expanding field of interest to radiologists for its utility as an adjunct in detecting and reporting disease and its potential influence on the role of radiologists and their practices. As radiology educators, we are responsible for developing and providing access to curricular elements that will prepare residents to be good stewards of artificial intelligence resources while also acquiring fundamental knowledge and skills that are essential to daily practice. Residency programs should consider collaborative approaches as well as solicit support from national societies in the development and curation of their AI curricula."
0000-0003-0275-8037,https://profiles.hopkinsmedicine.org/provider/cheng-ting-lin/2703089,2024,Care to Explain? AI Explanation Types Differentially Impact Chest Radiograph Diagnostic Performance and Physician Trust in AI,"Prinster Drew, Mahmood Amama, Saria Suchi, Jeudy Jean, Lin Cheng Ting, Yi Paul H, Huang Chien-Ming",https://pubmed.ncbi.nlm.nih.gov/39560483/,"Background It is unclear whether artificial intelligence (AI) explanations help or hurt radiologists and other physicians in AI-assisted radiologic diagnostic decision-making. Purpose To test whether the type of AI explanation and the correctness and confidence level of AI advice impact physician diagnostic performance, perception of AI advice usefulness, and trust in AI advice for chest radiograph diagnosis. Materials and Methods A multicenter, prospective randomized study was conducted from April 2022 to September 2022. Two types of AI explanations prevalent in medical imaging-local (feature-based) explanations and global (prototype-based) explanations-were a between-participant factor, while AI correctness and confidence were within-participant factors. Radiologists (task experts) and internal or emergency medicine physicians (task nonexperts) received a chest radiograph to read; then, simulated AI advice was presented. Generalized linear mixed-effects models were used to analyze the effects of the experimental variables on diagnostic accuracy, efficiency, physician perception of AI usefulness, and ""simple trust"" (ie, speed of alignment with or divergence from AI advice); the control variables included knowledge of AI, demographic characteristics, and task expertise. Holm-Sidak corrections were used to adjust for multiple comparisons. Results Data from 220 physicians (median age, 30 years [IQR, 28-32.75 years]; 146 male participants) were analyzed. Compared with global AI explanations, local AI explanations yielded better physician diagnostic accuracy when the AI advice was correct (β = 0.86;"
